22_soap_bottle,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,False,True,False,False,False,False
cut_object_crop,True,True,False,True,True,False,False,True
flipped_horizontal,True,True,True,True,False,False,True,False
flipped_vertical,False,False,False,True,False,False,False,False
good_crop,True,True,True,True,True,False,True,True
grayscale,True,True,True,True,True,False,True,False
high_quality,True,True,False,True,True,False,True,False
images_base,True,True,True,True,True,False,True,True
jpeg_artifacts,True,True,True,True,False,False,True,False
occluded,True,True,True,True,True,False,True,True
overexposed,True,True,True,True,True,True,True,True
rotated,True,True,True,True,False,False,False,False
salt_pepper_noise,True,True,True,True,True,False,False,False
tint_blue,True,True,True,True,False,True,True,False
tint_green,True,True,True,True,True,True,True,True
tint_red,True,True,True,True,True,False,True,True
underexposed,True,True,True,True,True,False,True,True
