56_cloth,llava,llava:13b,llava:34b,llava-llama3,llama3.2-vision,gemma3:4b,gemma3:12b,gemma3:27b
Act as a robotic assistant that identifies tools. What is in your grip?,True,False,True,True,True,True,True,True
"Based on what you see, you must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,False,False,True,False,False,True
Identify the item in the image,True,False,True,False,True,False,False,False
Ignore the robotic arm. Focus only on the object being held. Identify it.,True,False,False,True,True,False,False,False
What is the object in the image? Answer with a single word.,False,False,False,False,True,False,False,False
"What is the object in the image? Ignore the robot arm, focus on the object, Answer with a single word.",False,False,False,False,True,True,False,False
"You are a robot. Based on what you see, you must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,False,True,True,False,False,True
You are a warehouse robot sorting objects. What are you holding?,True,True,True,True,True,False,True,True
You are analyzing this image to detect the item held. Disregard the arm or background clutter.,True,True,False,True,True,True,True,True
"You must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,False,True,True,True,False,False
Your task is to classify the item. Do not describe the robot or background.,True,True,False,True,True,True,True,True
