52_plate,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,True,True,False,True,False,False
cut_object_crop,True,True,True,True,True,True,True,True
flipped_horizontal,True,True,True,True,False,True,False,False
flipped_vertical,True,True,True,True,True,False,True,True
good_crop,True,True,True,True,True,True,True,False
grayscale,True,True,False,True,False,True,True,False
high_quality,False,True,False,True,False,True,False,False
images_base,True,True,True,True,False,True,False,False
jpeg_artifacts,True,True,True,True,True,True,True,True
occluded,True,True,True,True,False,True,False,False
overexposed,False,False,False,False,False,False,False,False
rotated,True,True,True,True,True,False,True,True
salt_pepper_noise,True,True,True,True,True,True,True,True
tint_blue,True,True,True,True,True,True,False,False
tint_green,True,True,True,True,True,True,False,True
tint_red,True,True,True,True,True,True,False,False
underexposed,True,True,True,True,True,True,False,False
