llava-llama3,01_mug,02_mug,03_mug,04_mug,05_sponge,06_sponge,07_sponge,08_sponge,09_gloves,10_gloves,11_gloves,12_gloves,13_plate,14_plate,15_plate,16_plate,17_fan,18_fan,19_fan,20_fan,21_soap_bottle,22_soap_bottle,23_soap_bottle,24_soap_bottle,25_controller,26_controller,27_controller,28_controller,29_cloth,30_cloth,31_cloth,32_cloth,33_mouse,34_mouse,35_mouse,36_mouse,37_screwdriver,38_screwdriver,39_screwdriver,40_screwdriver,41_pcb,42_pcb,43_pcb,44_pcb,45_cleaning_foam,46_cleaning_foam,47_cleaning_foam,48_cleaning_foam,49_mug,50_sponge,51_gloves,52_plate,53_fan,54_soap_bottle,55_controller,56_cloth,57_mouse,58_screwdriver,59_pcb,60_cleaning_foam
blurred,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
cut_object_crop,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False
flipped_horizontal,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
flipped_vertical,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False
good_crop,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,True
grayscale,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,False,False
high_quality,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False
images_base,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False
jpeg_artifacts,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
occluded,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
overexposed,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False
rotated,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False
salt_pepper_noise,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False
tint_blue,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
tint_green,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True
tint_red,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
underexposed,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,False
