43_pcb,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,True,False,False,True,False,True,True
flipped_horizontal,True,True,True,False,True,False,True,True
flipped_vertical,True,True,True,True,False,False,False,True
good_crop,True,True,True,True,True,True,True,True
grayscale,True,True,True,True,True,False,False,True
high_quality,True,True,True,True,False,False,True,True
images_base,True,True,True,True,False,False,False,True
jpeg_artifacts,True,True,True,True,False,False,False,True
occluded,True,True,True,True,False,False,False,False
overexposed,True,True,True,True,False,False,False,True
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,True,True,True,True,False,False,True,True
tint_blue,True,True,True,True,False,False,False,True
tint_green,True,True,True,True,False,False,False,True
tint_red,True,True,True,True,False,False,False,True
underexposed,True,True,True,True,False,False,False,True
